,asset_id,asof,contract_symbol,expiry,strike,S0,T,r,sigma,delta,bid,ask,openInterest,volume,d_delta,spread,mid,spread_rel,gamma,vega,theta,rho,BS_price,CRR_price,MC_price,moneyness,MAE_BS,MAE_MC,MAE_CRR,Heston,MAE_Heston
239,10101,2025-11-12,AAPL260618C00330000,2026-06-18,330.0,273.470001,0.59954,0.04,0.270637177,0.249061120873894,6.2,6.35,2940,41,,,,,0.00553409356094981,67.1539402458932,-17.5737581561727,36.2248639666036,7.68937593824045,7.68847961700707,0.0,0.8286969727272728,0.05634963897372308,0.25,0.056313928964425095,4.532972714309475,0.06940347751755081
240,10101,2025-12-16,AAPL260123C00275000,2026-01-23,275.0,273.209991,0.10651,0.04,0.197456756,0.498800107165933,6.05,6.2,331,255,,,,,0.0226591877649099,35.5713112438909,-38.1545901968281,13.7986884855412,6.72450636660554,6.72609387769451,6.9629136955919,0.9934908763636364,0.024469647616552636,0.03420055900375102,0.024534443987531004,9.177859663402957,0.12460651687359009
241,10101,2025-12-16,AAPL260109C00265000,2026-01-09,265.0,273.209991,0.06815,0.04,0.206184696,0.740342479694838,10.65,10.8,292,25,,,,,0.0220420668258562,23.1189313638234,-42.6113255396294,13.0144229494587,11.301855887978,11.3009031727833,11.1349350716156,1.0309810981132075,0.013446524195291345,0.00955559607495566,0.013424316381895082,14.159773994398051,0.08006466187408041
242,10101,2025-12-16,AAPL260116C00250000,2026-01-16,250.0,273.209991,0.08733,0.04,0.250129569,0.900654855723737,24.2,24.3,47786,72,,,,,0.00864866843021485,14.1016813377284,-29.0352261831915,19.3005641246861,25.0602665305158,25.0590593038759,25.3082633366716,1.092839964,0.00835326320119382,0.010909931305892793,0.008340817565730945,28.072999111521835,0.0394123619744519
243,10101,2025-12-16,AAPL260220C00315000,2026-02-20,315.0,273.209991,0.18322,0.04,0.224128853,0.0870340477562378,0.82,0.86,2112,80,,,,,0.00604282548525351,18.5226812649901,-12.2398893628607,4.17147189649792,1.01116929057631,1.01134037307857,1.01001280783669,0.8673333047619047,0.050943241242949446,0.050599049951395816,0.050994158654336305,0.9513019511026206,0.03312558068530377
244,10101,2025-11-14,AAPL251121C00280000,2025-11-21,280.0,274.440002,0.02158,0.04,0.211189529,0.273175911872512,1.33,1.36,32284,9173,,,,,0.0390629989771518,13.4086245940355,-68.5536100614297,1.58765872123909,1.40634910137892,1.4065046143098,0.0,0.9801428642857143,0.011403178694966504,0.25,0.011432084444200685,1.7582115907260816,0.07680512838774746
245,10101,2025-11-14,AAPL251128C00275000,2025-11-28,275.0,274.440002,0.04075,0.04,0.222114713,0.505311350146505,4.55,4.65,5145,1822,,,,,0.0324177636540831,22.0995189228211,-65.581502651025,5.45330203847584,4.85380163312996,4.8545548818663,0.0,0.9979636436363636,0.01379356701793262,0.25,0.013834504449255469,5.847640765558518,0.06780656334557165
246,10101,2025-11-14,AAPL251121C00265000,2025-11-21,265.0,274.440002,0.02158,0.04,0.260139235,0.830902997399228,10.25,10.45,25744,178,,,,,0.0240485379570102,10.1681233286187,-69.9823349207556,4.69137188859109,10.6320521174799,10.632534731388,0.0,1.0356226490566038,0.006812853079224633,0.25,0.0068245104200000215,11.887631717880991,0.037140862750748585
247,10101,2025-11-14,AAPL251205C00275000,2025-12-05,275.0,274.440002,0.05993,0.04,0.231758171,0.513837626511301,5.85,5.95,2497,535,,,,,0.0256061404607846,26.7866426278837,-57.1842854465688,8.07606438695964,6.25915845932744,6.26064761745687,0.0,0.9979636436363636,0.015218578785061014,0.25,0.015281678705799566,7.240798451637453,0.05681349371345136
248,10101,2025-11-14,AAPL251205C00260000,2025-12-05,260.0,274.440002,0.05993,0.04,0.27283442,0.810171176688564,16.3,16.55,241,29,,,,,0.0147958993125422,18.2213114470792,-49.6889434206212,12.3039477261557,17.0387516868042,17.0388949118434,0.0,1.0555384692307692,0.009341730392757989,0.25,0.009343910378133929,18.89502568330922,0.037595520293899856
249,10101,2025-11-14,AAPL260116C00295000,2026-01-16,295.0,274.440002,0.175,0.04,0.238655074,0.273062605604851,3.85,3.9,7850,129,,,,,0.0121357103505113,38.1740950867179,-28.8526141149088,12.3496681551796,4.36976811839443,4.37148838256693,0.0,0.9303050915254237,0.03192052376738257,0.25,0.03203150855270519,3.918728176385382,0.0028211726700246493
250,10101,2025-11-14,AAPL260116C00250000,2026-01-16,250.0,274.440002,0.175,0.04,0.31647412,0.794913278222831,29.15,29.35,48724,312,,,,,0.00782194769024654,32.6276642414164,-37.0024269417494,32.8129762644324,30.6532792890559,30.6527733441242,0.0,1.097760008,0.011993840077400843,0.25,0.011989515761745293,32.68431348410129,0.029353106701720415
251,10101,2025-11-14,AAPL260220C00310000,2026-02-20,310.0,274.440002,0.27089,0.04,0.260993718,0.226853571475257,3.9,4.0,7624,154,,,,,0.00808230101949442,43.0380788035088,-23.0396368342942,15.6218280197396,4.58909829984844,4.58868634669119,0.0,0.885290329032258,0.04044925948407848,0.25,0.04042318649944236,2.9405951007622604,0.06388638602770505
252,10101,2025-11-14,AAPL260220C00280000,2026-02-20,280.0,274.440002,0.27089,0.04,0.280372187,0.503897984067184,13.3,13.5,7441,113,,,,,0.00996117352639343,56.9814158003932,-34.4276897707152,33.4528699708185,14.7972882282422,14.7977847712847,0.0,0.9801428642857143,0.026068810228399252,0.25,0.02607807409113246,13.871798874629315,0.008802217810248404
253,10101,2025-11-14,AAPL260220C00240000,2026-02-20,240.0,274.440002,0.27089,0.04,0.351141743,0.81175626242616,40.5,40.75,5684,7,,,,,0.00537952603533197,38.5402276039977,-32.1824737621608,48.7842242297372,42.6897360227264,42.6923347169413,0.0,1.1435000083333333,0.012706067832162464,0.25,0.012722059796561868,44.54921949565976,0.024149043050213925
254,10101,2025-11-10,AAPL270617C00310000,2027-06-17,310.0,269.830109,1.60228,0.04,0.303824711,0.499237044000852,26.7,26.95,443,37,,,,,0.0038443822454881,136.260157226236,-16.9843401026188,162.851675364656,33.0716475973685,33.077246722026,0.0,0.8704197064516129,0.05821665980772132,0.25,0.05826884177097855,25.505431038581957,0.012297939994576351
255,10101,2025-11-14,AAPL260515C00330000,2026-05-15,330.0,274.440002,0.50091,0.04,0.274451836,0.22697603753145,5.2,5.35,598,25,,,,,0.00565388305555033,58.5419913611826,-18.273707727566,28.0001107932179,6.39250960675236,6.38718435620258,0.0,0.8316363696969696,0.052962540604377224,0.25,0.052710159061733625,3.508565948939824,0.08371725360474769
256,10101,2025-11-14,AAPL260515C00290000,2026-05-15,290.0,274.440002,0.50091,0.04,0.293006338,0.473837610901288,16.25,16.35,2515,58,,,,,0.00699472309470429,77.3218204824837,-27.0764585201459,55.8744275948326,18.4939874831131,18.4953835632273,0.0,0.9463448344827586,0.033650114771673276,0.25,0.03367152704336348,15.508682751002627,0.012136767622659098
257,10101,2025-11-14,AAPL260515C00230000,2026-05-15,230.0,274.440002,0.50091,0.04,0.381414877,0.806095363294214,54.45,54.85,974,33,,,,,0.00370882415787616,53.368918396462,-26.8440309488284,81.7148454918202,58.0921320359344,58.0956046428269,0.0,1.1932174,0.015746258169873704,0.25,0.015762143837268493,59.366982865192604,0.021578146684321124
258,10101,2025-11-11,AAPL260417C00320000,2026-04-17,320.0,275.350006,0.43242,0.04,0.264808377,0.249329164560695,5.45,5.55,977,274,,,,,0.00661808528207371,57.4566143968991,-20.0769598186056,26.8545640395648,6.54981217835529,6.55179847185615,0.0,0.86046876875,0.0477187353797859,0.25,0.04780902144800683,4.127262776651265,0.06239714651585159
259,10101,2025-11-11,AAPL260417C00285000,2026-04-17,285.0,275.350006,0.43242,0.04,0.284888743,0.500848855251428,16.3,16.45,3557,108,,,,,0.00773385129411621,72.2348972311179,-28.5741269074382,51.664235521519,18.4317511824743,18.4299001163405,0.0,0.9661403719298246,0.031400781411821385,0.25,0.03137252086016033,16.7771361969031,0.006139483922184741
260,10101,2025-11-11,AAPL260220C00240000,2026-02-20,240.0,275.350006,0.27911,0.04,0.359503475,0.809810327510026,41.7,42.05,5755,191,,,,,0.00519212157188392,39.4996750416938,-32.5969307833559,49.9498532878159,44.020073036163,44.0229613950896,0.0,1.1472916916666667,0.01280640618604775,0.25,0.012823650119937925,45.641553095403104,0.022486884151660322
261,10101,2025-11-11,AAPL260515C00330000,2026-05-15,330.0,275.350006,0.50913,0.04,0.272468213,0.232911815562957,5.45,5.55,542,56,,,,,0.00571216593568575,60.0780083825301,-18.3756953981693,29.2736001444106,6.6347433137417,6.63573169462342,0.0,0.8343939575757576,0.05157924153371362,0.25,0.05162416793742818,3.7615971131075043,0.07901831304056799
262,10101,2025-11-13,AAPL251121C00280000,2025-11-21,280.0,272.679993,0.02432,0.04,0.226081958,0.240026864021667,1.26,1.29,31291,9884,,,,,0.0323395220341548,13.2211618453143,-64.0176947349355,1.55943143604636,1.33601588416784,1.33575574350843,0.0,0.9738571178571429,0.011963898856439236,0.25,0.011912890884005893,1.392099612457509,0.022960708325001765
263,10101,2025-11-13,AAPL251114C00272500,2025-11-14,272.5,272.679993,0.00514,0.04,0.239509558,0.523531221825513,1.97,2.01,9008,11224,,,,,0.0850542771298663,7.78553882042981,-187.022853606835,0.72354966756597,1.98750947435386,1.98793223038707,0.0,1.0006605247706424,0.0003128801062989736,0.25,0.0002597700518756119,2.229292906919335,0.030061922979815962
264,10101,2025-11-13,AAPL251114C00267500,2025-11-14,267.5,272.679993,0.00514,0.04,0.316413086,0.806787070493558,5.7,5.9,3973,718,,,,,0.0443319468703716,5.36093952216889,-173.56988426919,1.10033740273059,5.90317933171926,5.90344171242293,0.0,1.0193644598130842,0.004447384987899098,0.25,0.004458694500988346,6.25561125003772,0.019638415949901705
265,10101,2025-11-13,AAPL251219C00250000,2025-12-19,250.0,272.679993,0.10103,0.04,0.329596548,0.821178450564048,25.65,25.8,31168,536,,,,,0.00914772504126404,22.6491891194779,-44.8378827847624,19.9356005838752,26.594684555366,26.5938212553978,0.0,1.090719972,0.008451744950106897,0.25,0.008443355251679278,28.1419823619797,0.02348865269173662
266,10101,2025-11-13,AAPL260116C00295000,2026-01-16,295.0,272.679993,0.17774,0.04,0.243171631,0.258873295220344,3.65,3.7,7823,298,,,,,0.011577144862839,37.2054104006573,-28.108522312171,11.8089647797295,4.1500845011213,4.14936454928869,0.0,0.924338959322034,0.03231867354566666,0.25,0.03226969723052317,3.463839400883097,0.014364666606592027
267,10101,2025-11-13,AAPL260220C00310000,2026-02-20,310.0,272.679993,0.27363,0.04,0.262214409,0.215697279058689,3.7,3.75,8193,259,,,,,0.00782690041189306,41.7557818316045,-22.1869997713236,14.9136229943429,4.31343175399252,4.31345259990748,0.0,0.8796128806451614,0.03949206402634365,0.25,0.03949346308103892,2.6744882102718486,0.07050414696162091
268,10101,2025-11-13,AAPL260220C00280000,2026-02-20,280.0,272.679993,0.27363,0.04,0.281165636,0.487173057898207,12.7,12.8,7415,159,,,,,0.00994232914022602,56.8748985967526,-33.9717338515611,32.5013003901735,14.0640593282085,14.0640850605245,0.0,0.9738571178571429,0.025765869180558836,0.25,0.025766373735774502,12.924139377098818,0.003414497590172906
269,10101,2025-11-13,AAPL260220C00235000,2026-02-20,235.0,272.679993,0.27363,0.04,0.371832454,0.820716955841369,43.65,43.95,3073,9,,,,,0.00493505723316045,37.3344489257417,-32.4825768495852,48.6781905488478,45.8952482998536,45.8933985850005,0.0,1.160340395744681,0.01195917979368494,0.25,0.011948622060505138,47.44377049946512,0.02079777682343105
270,10101,2025-11-13,AAPL260515C00320000,2026-05-15,320.0,272.679993,0.50365,0.04,0.277106838,0.269960136684526,6.7,6.8,1765,238,,,,,0.00616545058489767,63.9804736242211,-20.2238711422341,33.0259832727765,8.03917755157489,8.03762368800929,0.0,0.8521249781250001,0.0477473167249959,0.25,0.047689766222566314,4.607349252527731,0.07935743509156551
271,10101,2025-11-13,AAPL260515C00280000,2026-05-15,280.0,272.679993,0.50365,0.04,0.301307036,0.530786045272416,19.9,20.05,2190,40,,,,,0.00682161850709017,76.9718789377907,-27.9161365802915,61.5969459903885,22.4335378585409,22.429425242598,0.0,0.9738571178571429,0.03077018596421652,0.25,0.030718713924881087,19.774975222664366,0.0025034390154647676
272,10101,2025-11-13,AAPL260515C00230000,2026-05-15,230.0,272.679993,0.50365,0.04,0.382666086,0.798636854800175,53.3,53.6,975,84,,,,,0.0037960487499437,54.3985272559223,-27.1036569428501,81.0630266168098,56.8212762693416,56.8189255228872,0.0,1.1855651869565218,0.01576836421581665,0.25,0.015757369143532252,57.786728889438834,0.020284045320106785
273,10101,2025-12-02,AAPL280121C00450000,2028-01-21,450.0,286.279999,2.13938,0.04,0.283332362,0.248998030115664,10.0,10.25,2124,63,,,,,0.00267278230218106,132.779098173373,-11.0627996274863,121.430612805145,14.5233208143755,14.5224253698387,0.0,0.6361777755555555,0.10860051393519754,0.25,0.10857840419354815,7.1130168452919715,0.07436995443723526
274,10101,2025-11-14,AAPL251121C00275000,2025-11-21,275.0,274.529999,0.02158,0.04,0.22449506,0.496323784247657,3.35,3.4,26649,20400,,,,,0.0440625218577353,16.088190345319,-88.9924485589837,2.864935286774,3.49807027217363,3.49823103333665,0.0,0.9982909054545454,0.009116316457305932,0.25,0.009128224691603702,4.1616472959150235,0.058270170067779514
275,10101,2025-11-14,AAPL251114C00272500,2025-11-14,272.5,274.529999,0.00274,0.04,0.168465347,0.804699397396389,2.2,2.28,10087,36784,,,,,0.113997966522731,3.96586443980887,-130.661530414897,0.598930720828431,2.32315281468308,2.32323014272595,0.0,1.0074495376146788,0.00928044806730801,0.25,0.00928907842923545,3.057050360641004,0.09118865632154059
